Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
691,2017-01-06 08:16:53,2017-01-06 08:28:25,143,Clinton St & Joralemon St,40.69239502,-73.99337909,3414,Bergen St & Flatbush Ave,40.680944723477296,-73.97567331790923,21486,Subscriber,1985,1
982,2017-01-06 08:42:40,2017-01-06 08:59:02,2003,1 Ave & E 18 St,40.733812191966315,-73.98054420948029,440,E 45 St & 3 Ave,40.75255434,-73.97282625,18654,Subscriber,1966,2
1034,2017-01-06 09:04:36,2017-01-06 09:21:50,3167,Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842,3141,1 Ave & E 68 St,40.76500525,-73.95818491,21946,Subscriber,1980,1
1584,2017-01-06 09:32:30,2017-01-06 09:58:55,3286,E 89 St & 3 Ave,40.7806284,-73.9521667,519,Pershing Square North,40.751873,-73.977706,18753,Subscriber,1987,2
446,2017-01-06 10:14:15,2017-01-06 10:21:42,334,W 20 St & 7 Ave,40.74238787,-73.99726235,325,E 19 St & 3 Ave,40.73624527,-73.98473765,26616,Subscriber,1983,2
322,2017-01-06 11:18:58,2017-01-06 11:24:20,509,9 Ave & W 22 St,40.7454973,-74.00197139,405,Washington St & Gansevoort St,40.739323,-74.008119,20635,Subscriber,1990,1
498,2017-01-06 12:21:53,2017-01-06 12:30:12,3363,E 102 St & Park Ave,40.7904828,-73.95033068,3295,Central Park W & W 96 St,40.79127,-73.964839,17214,Subscriber,1965,2
832,2017-01-06 13:12:35,2017-01-06 13:26:28,444,Broadway & W 24 St,40.7423543,-73.98915076,518,E 39 St & 2 Ave,40.74780373,-73.9734419,16132,Subscriber,1970,1
359,2017-01-06 13:59:50,2017-01-06 14:05:49,3355,E 66 St & Madison Ave,40.76800889305947,-73.96845281124115,3152,3 Ave & E 71 St,40.76873687,-73.96119945,26611,Subscriber,1961,1
210,2017-01-06 14:42:55,2017-01-06 14:46:26,306,Cliff St & Fulton St,40.70823502,-74.00530063,195,Liberty St & Broadway,40.70905623,-74.01043382,19618,Subscriber,1973,1
854,2017-01-06 15:26:46,2017-01-06 15:41:00,402,Broadway & E 22 St,40.7403432,-73.98955109,2004,6 Ave & Broome St,40.724399,-74.004704,23888,Subscriber,1968,1
1669,2017-01-06 16:07:19,2017-01-06 16:35:09,337,Old Slip & Front St,40.7037992,-74.00838676,488,W 39 St & 9 Ave,40.75645824,-73.99372222,25667,Subscriber,1962,1
557,2017-01-06 16:39:04,2017-01-06 16:48:21,337,Old Slip & Front St,40.7037992,-74.00838676,408,Market St & Cherry St,40.71076228,-73.99400398,25818,Subscriber,1970,2
1558,2017-01-06 17:07:14,2017-01-06 17:33:13,173,Broadway & W 49 St,40.76068327096592,-73.9845272898674,3160,Central Park West & W 76 St,40.77896784,-73.97374737,20177,Customer,,0
1390,2017-01-06 17:29:07,2017-01-06 17:52:17,3002,South End Ave & Liberty St,40.711512,-74.015756,448,W 37 St & 10 Ave,40.75660359,-73.9979009,21004,Subscriber,1991,1
573,2017-01-06 17:50:45,2017-01-06 18:00:18,546,E 30 St & Park Ave S,40.74444921,-73.98303529,505,6 Ave & W 33 St,40.74901271,-73.98848395,25739,Subscriber,1988,1
160,2017-01-06 18:13:31,2017-01-06 18:16:11,249,Harrison St & Hudson St,40.71870987,-74.0090009,257,Lispenard St & Broadway,40.71939226,-74.00247214,25446,Subscriber,1966,1
623,2017-01-06 18:37:23,2017-01-06 18:47:46,498,Broadway & W 32 St,40.74854862,-73.98808416,382,University Pl & E 14 St,40.73492695,-73.99200509,16217,Subscriber,1976,1
267,2017-01-06 19:07:24,2017-01-06 19:11:51,82,St James Pl & Pearl St,40.71117416,-74.00016545,295,Pike St & E Broadway,40.71406667,-73.99293911,19977,Subscriber,1975,0
1900,2017-01-06 19:47:22,2017-01-06 20:19:03,505,6 Ave & W 33 St,40.74901271,-73.98848395,482,W 15 St & 7 Ave,40.73935542,-73.99931783,26681,Subscriber,1978,1
187,2017-01-06 20:47:23,2017-01-06 20:50:31,146,Hudson St & Reade St,40.71625008,-74.0091059,224,Spruce St & Nassau St,40.71146364,-74.00552427,24941,Subscriber,1990,1
248,2017-01-06 22:43:20,2017-01-06 22:47:29,448,W 37 St & 10 Ave,40.75660359,-73.9979009,458,11 Ave & W 27 St,40.751396,-74.005226,25427,Subscriber,1986,1
1188,2017-01-07 04:42:04,2017-01-07 05:01:52,3435,Grand St & Elizabeth St,40.718822,-73.99596,507,E 25 St & 2 Ave,40.73912601,-73.97973776,19464,Subscriber,1978,2
875,2017-01-07 09:00:53,2017-01-07 09:15:29,3423,West Drive & Prospect Park West,40.6610633719006,-73.97945255041122,3310,14 St & 7 Ave,40.663779,-73.98396846,20687,Subscriber,1965,1
562,2017-01-07 10:48:34,2017-01-07 10:57:57,447,8 Ave & W 52 St,40.76370739,-73.9851615,3167,Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842,24926,Subscriber,1982,1
560,2017-01-07 15:10:26,2017-01-07 15:19:46,151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,483,E 12 St & 3 Ave,40.73223272,-73.98889957,26777,Subscriber,1969,2
673,2017-01-08 02:24:09,2017-01-08 02:35:23,267,Broadway & W 36 St,40.75097711,-73.98765428,507,E 25 St & 2 Ave,40.73912601,-73.97973776,16309,Subscriber,1986,1
504,2017-01-08 11:00:12,2017-01-08 11:08:37,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,18232,Subscriber,1983,2
604,2017-01-08 12:57:52,2017-01-08 13:07:56,368,Carmine St & 6 Ave,40.73038599,-74.00214988,509,9 Ave & W 22 St,40.7454973,-74.00197139,25807,Subscriber,1974,1
157,2017-01-08 14:48:54,2017-01-08 14:51:31,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,346,Bank St & Hudson St,40.73652889,-74.00618026,26493,Subscriber,1991,2
640,2017-01-08 16:31:16,2017-01-08 16:41:56,3112,Milton St & Franklin St,40.72906,-73.95779,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,27086,Customer,,0
634,2017-01-08 18:35:52,2017-01-08 18:46:27,442,W 27 St & 7 Ave,40.746647,-73.993915,450,W 49 St & 8 Ave,40.76227205,-73.98788205,26847,Subscriber,1990,1
2499,2017-01-08 21:58:35,2017-01-08 22:40:15,3237,21 St & 41 Ave,40.75383343437622,-73.94267678260802,3241,Monroe St & Tompkins Ave,40.686203,-73.944694,25112,Subscriber,1990,1
